FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,OneLeet Controls Requirement Title,Target ID #,OneLeet Controls Requirement Description,Notes
SA-3,SA-03 - System Development Life Cycle,"a. Acquire, develop, and manage the system using that incorporates information security and privacy considerations; b. Define and document information security and privacy roles and responsibilities throughout the system development life cycle; c. Identify individuals having information security and privacy roles and responsibilities; and d. Integrate the organizational information security and privacy risk management process into system development life cycle activities. Guidance A system de...",medium,functional,"FedRAMP v5 Low SA-3 requires a. Acquire, develop, and manage the system using that incorporates information security and privacy considerations; b. Define and document information security and privacy roles.... OneLeet Controls OS.SDLC.V1 requires Rules for the secure development of software and systems shall be established and applied.. Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Secure development life cycle,OS.SDLC.V1,Rules for the secure development of software and systems shall be established and applied.,"Overlap: none identified. Divergence: FedRAMP v5 Low emphasizes system, acquisition, sa-03; OneLeet Controls emphasizes secure, applied, established."
SA-4(10),SA-04(10) - Use of Approved PIV Products,Employ only information technology products on the FIPS 201-approved products list for Personal Identity Verification (PIV) capability implemented within organizational systems. Guidance Products on the FIPS 201-approved products list meet NIST requirements for Personal Identity Verification (PIV) of Federal Employees and Contractors. PIV cards are used for multi-factor authentication in systems and organizations.,medium,functional,"FedRAMP v5 Low SA-4(10) requires Employ only information technology products on the FIPS 201-approved products list for Personal Identity Verification (PIV) capability implemented within organizational systems..... OneLeet Controls DM.VOCI.V1 requires Verify the identity of consumers submitting privacy requests in accordance with CCPA requirements. Verification procedures ensure that access, deletion, or opt-out requests are.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Verification of Consumer Identity,DM.VOCI.V1,"Verify the identity of consumers submitting privacy requests in accordance with CCPA requirements. Verification procedures ensure that access, deletion, or opt-out requests are processed only for legitimate requestors, protecting personal information from unauthorized disclosure. The process is documented, monitored, and updated as needed to maintain security and regulatory compliance.","Overlap: access control; audit and monitoring. Divergence: FedRAMP v5 Low emphasizes products, piv, 201-approved; OneLeet Controls emphasizes accordance, ccpa, consumer."
SA-4,SA-04 - Acquisition Process,"Include the following requirements, descriptions, and criteria, explicitly or by reference, using in the acquisition contract for the system, system component, or system service: a. Security and privacy functional requirements; b. Strength of mechanism requirements; c. Security and privacy assurance requirements; d. Controls needed to satisfy the security and privacy requirements. e. Security and privacy documentation requirements; f. Requirements for protecting security and privacy documenta...",medium,functional,"FedRAMP v5 Low SA-4 requires Include the following requirements, descriptions, and criteria, explicitly or by reference, using in the acquisition contract for the system, system component, or system service.... OneLeet Controls DR.DRPE.V1 requires Establish a data recovery process that defines procedures for recovering data in case of data loss, corruption, or system failures. A robust data recovery process helps minimize.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Data recovery process established,DR.DRPE.V1,"Establish a data recovery process that defines procedures for recovering data in case of data loss, corruption, or system failures. A robust data recovery process helps minimize downtime and data loss in critical situations.","Overlap: incident response; governance and policy. Divergence: FedRAMP v5 Low emphasizes acquisition, component, contract; OneLeet Controls emphasizes data, recovery, case."
SA-5,SA-05 - System Documentation,"a. Obtain or develop administrator documentation for the system, system component, or system service that describes: 1. Secure configuration, installation, and operation of the system, component, or service; 2. Effective use and maintenance of security and privacy functions and mechanisms; and 3. Known vulnerabilities regarding configuration and use of administrative or privileged functions; b. Obtain or develop user documentation for the system, system component, or system service that descr...",medium,functional,"FedRAMP v5 Low SA-5 requires a. Obtain or develop administrator documentation for the system, system component, or system service that describes: 1. Secure configuration, installation, and operation of the.... OneLeet Controls OS.SDCA.V1 requires Manage system and process documentation under controlled revision and access.. Both address access control. The requirements are materially equivalent in scope and intent.",equal,9,System documentation controlled and managed,OS.SDCA.V1,Manage system and process documentation under controlled revision and access.,Shared scope: access control. No material divergence detected.
SA-8,SA-08 - Security and Privacy Engineering Principles,"Apply the following systems security and privacy engineering principles in the specification, design, development, implementation, and modification of the system and system components: . Guidance Systems security and privacy engineering principles are closely related to and implemented throughout the system development life cycle (see SA-3 ). Organizations can apply systems security and privacy engineering principles to new systems under development or to systems undergoing upgrades. For exis...",medium,functional,"FedRAMP v5 Low SA-8 requires Apply the following systems security and privacy engineering principles in the specification, design, development, implementation, and modification of the system and system comp.... OneLeet Controls DM.HGPC.V1 requires Detect and honor Global Privacy Control (GPC) signals from users’ browsers or devices in accordance with CCPA requirements. It automatically respects users’ preferences to opt o.... Both address audit and monitoring. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Honor Global Privacy Control (GPC) Signals,DM.HGPC.V1,Detect and honor Global Privacy Control (GPC) signals from users’ browsers or devices in accordance with CCPA requirements. It automatically respects users’ preferences to opt out of the sale or sharing of their personal information. The control also logs and monitors signal processing to maintain compliance and provide evidence of adherence to consumer privacy requests.,"Overlap: audit and monitoring; data protection. Divergence: FedRAMP v5 Low emphasizes system, engineering, principles; OneLeet Controls emphasizes global, gpc, honor."
SA-9,SA-09 - External System Services,"a. Require that providers of external system services comply with organizational security and privacy requirements and employ the following controls: ; b. Define and document organizational oversight and user roles and responsibilities with regard to external system services; and c. Employ the following processes, methods, and techniques to monitor control compliance by external service providers on an ongoing basis: . Guidance External system services are provided by an external provider, an...",medium,functional,FedRAMP v5 Low SA-9 requires a. Require that providers of external system services comply with organizational security and privacy requirements and employ the following controls: ; b. Define and document or.... OneLeet Controls IS.IDSU.V1 requires Utilize an intrusion detection system (IDS) to monitor network traffic and detect suspicious or unauthorized activities. IDS helps identify potential security breaches and intru.... Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Intrusion detection system used,IS.IDSU.V1,Utilize an intrusion detection system (IDS) to monitor network traffic and detect suspicious or unauthorized activities. IDS helps identify potential security breaches and intrusions in real-time.,"Overlap: access control; audit and monitoring. Divergence: FedRAMP v5 Low emphasizes services, acquisition, external; OneLeet Controls emphasizes detection, intrusion, activities."
SA-22,SA-22 - Unsupported System Components,"a. Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or b. Provide the following options for alternative sources for continued support for unsupported components . Guidance Support for system components includes software patches, firmware updates, replacement parts, and maintenance contracts. An example of unsupported components includes when vendors no longer provide critical software patches or product updates, whic...",medium,functional,"FedRAMP v5 Low SA-22 requires a. Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or b. Provide the following options for alternat.... OneLeet Controls AC.ARSI.V1 requires To access sensitive infrastructure components, employees must submit access requests that are approved and monitored. This control helps ensure that only authorized personnel ca.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Access requests to sensitive infrastructure required,AC.ARSI.V1,"To access sensitive infrastructure components, employees must submit access requests that are approved and monitored. This control helps ensure that only authorized personnel can access critical infrastructure, minimizing potential risks.","Overlap: risk management; audit and monitoring. Divergence: FedRAMP v5 Low emphasizes system, acquisition, sa-22; OneLeet Controls emphasizes access, infrastructure, requests."
SC-1,SC-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. system and communications protection policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the system and communications protection policy and the associated system and communi...",medium,functional,"FedRAMP v5 Low SC-1 requires a. Develop, document, and disseminate to : 1. system and communications protection policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coo.... OneLeet Controls OS.ISPE.V1 requires Develop and maintain an information security policy that outlines your approach to protecting information assets and systems.. Both address governance and policy. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Information security policy established,OS.ISPE.V1,Develop and maintain an information security policy that outlines your approach to protecting information assets and systems.,"Shared scope: governance and policy; data protection. FedRAMP v5 Low additionally includes communications, procedures, protection; OneLeet Controls emphasizes approach, assets, develop."
SC-5,SC-05 - Denial-of-service Protection,"a. the effects of the following types of denial-of-service events: ; and b. Employ the following controls to achieve the denial-of-service objective: . Guidance Denial-of-service events may occur due to a variety of internal and external causes, such as an attack by an adversary or a lack of planning to support organizational needs with respect to capacity and bandwidth. Such attacks can occur across a wide range of network protocols (e.g., IPv4, IPv6). A variety of technologies are available...",medium,functional,FedRAMP v5 Low SC-5 requires a. the effects of the following types of denial-of-service events: ; and b. Employ the following controls to achieve the denial-of-service objective: . Guidance Denial-of-servic.... OneLeet Controls IS.POIS.V1 requires Audit tests and other assurance activities involving assessment of operational systems shall be planned and agreed between the tester and appropriate management.. Both address audit and monitoring. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Protection of information systems during audit testing,IS.POIS.V1,Audit tests and other assurance activities involving assessment of operational systems shall be planned and agreed between the tester and appropriate management.,"Shared scope: audit and monitoring; data protection. FedRAMP v5 Low additionally includes communications, denial-of-service, sc-05; OneLeet Controls emphasizes audit, activities, agreed."
SC-7,SC-07 - Boundary Protection,a. Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system; b. Implement subnetworks for publicly accessible system components that are separated from internal organizational networks; and c. Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture. Guidance Managed interfac...,medium,functional,"FedRAMP v5 Low SC-7 requires a. Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system; b. Implement subnetworks for pub.... OneLeet Controls OS.POR.V1 requires Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.. Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Protection of records,OS.POR.V1,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","Shared scope: access control; data protection. FedRAMP v5 Low additionally includes boundary, communications, sc-07; OneLeet Controls emphasizes records, unauthorized, access."
SC-8(1),SC-08(01) - Cryptographic Protection,"Implement cryptographic mechanisms to during transmission. Guidance Encryption protects information from unauthorized disclosure and modification during transmission. Cryptographic mechanisms that protect the confidentiality and integrity of information during transmission include TLS and IPSec. Cryptographic mechanisms used to protect information integrity include cryptographic hash functions that have applications in digital signatures, checksums, and message authentication codes. SC-8 (1)...",medium,functional,"FedRAMP v5 Low SC-8(1) requires Implement cryptographic mechanisms to during transmission. Guidance Encryption protects information from unauthorized disclosure and modification during transmission. Cryptograp.... OneLeet Controls OS.POR.V1 requires Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Protection of records,OS.POR.V1,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","Overlap: access control; data protection. Divergence: FedRAMP v5 Low emphasizes cryptographic, communications, implement; OneLeet Controls emphasizes records, unauthorized, access."
SC-8,SC-08 - Transmission Confidentiality and Integrity,"Protect the of transmitted information. Guidance Protecting the confidentiality and integrity of transmitted information applies to internal and external networks as well as any system components that can transmit information, including servers, notebook computers, desktop computers, mobile devices, printers, copiers, scanners, facsimile machines, and radios. Unprotected communication paths are exposed to the possibility of interception and modification. Protecting the confidentiality and int...",medium,functional,"FedRAMP v5 Low SC-8 requires Protect the of transmitted information. Guidance Protecting the confidentiality and integrity of transmitted information applies to internal and external networks as well as any.... OneLeet Controls OS.COND.V1 requires Confidentiality or non-disclosure agreements reflecting the organization's needs for the protection of information shall be identified, documented, regularly reviewed and signed.... Both address audit and monitoring. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Confidentiality or non-disclosure agreements,OS.COND.V1,"Confidentiality or non-disclosure agreements reflecting the organization's needs for the protection of information shall be identified, documented, regularly reviewed and signed by personnel and other relevant interested parties.","Shared scope: audit and monitoring; data protection. FedRAMP v5 Low additionally includes communications, integrity, protect; OneLeet Controls emphasizes agreements, non-disclosure, documented."
SC-12,SC-12 - Cryptographic Key Establishment and Management,"Establish and manage cryptographic keys when cryptography is employed within the system in accordance with the following key management requirements: . Guidance Cryptographic key management and establishment can be performed using manual procedures or automated mechanisms with supporting manual procedures. Organizations define key management requirements in accordance with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and specify appropriate o...",medium,functional,"FedRAMP v5 Low SC-12 requires Establish and manage cryptographic keys when cryptography is employed within the system in accordance with the following key management requirements: . Guidance Cryptographic ke.... OneLeet Controls IS.KMPE.V1 requires Establish a comprehensive key management policy that defines the processes for generating, storing, distributing, rotating, and revoking cryptographic keys used for data encrypt.... Both address governance and policy. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Key management policy established,IS.KMPE.V1,"Establish a comprehensive key management policy that defines the processes for generating, storing, distributing, rotating, and revoking cryptographic keys used for data encryption, digital signatures, and secure communication. Ensure the key management policy aligns with industry best practices and regulatory requirements, and regularly review and update the policy to maintain its effectiveness in protecting the confidentiality, integrity, and availability of sensitive information.","Shared scope: governance and policy; data protection. FedRAMP v5 Low additionally includes system, accordance, communications; OneLeet Controls emphasizes policy, communication, comprehensive."
SC-13,SC-13 - Cryptographic Protection,"a. Determine the ; and b. Implement the following types of cryptography required for each specified cryptographic use: . Guidance Cryptography can be employed to support a variety of security solutions, including the protection of classified information and controlled unclassified information, the provision and implementation of digital signatures, and the enforcement of information separation when authorized individuals have the necessary clearances but lack the necessary formal access appro...",medium,functional,"FedRAMP v5 Low SC-13 requires a. Determine the ; and b. Implement the following types of cryptography required for each specified cryptographic use: . Guidance Cryptography can be employed to support a varie.... OneLeet Controls OS.POR.V1 requires Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.. Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Protection of records,OS.POR.V1,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","Shared scope: access control; data protection. FedRAMP v5 Low additionally includes communications, cryptographic, sc-13; OneLeet Controls emphasizes records, unauthorized, access."
SC-15,SC-15 - Collaborative Computing Devices and Applications,"a. Prohibit remote activation of collaborative computing devices and applications with the following exceptions: ; and b. Provide an explicit indication of use to users physically present at the devices. Guidance Collaborative computing devices and applications include remote meeting devices and applications, networked white boards, cameras, and microphones. The explicit indication of use includes signals to users when collaborative computing devices and applications are activated. SC-15 Addi...",medium,functional,"FedRAMP v5 Low SC-15 requires a. Prohibit remote activation of collaborative computing devices and applications with the following exceptions: ; and b. Provide an explicit indication of use to users physical.... OneLeet Controls DM.PIPE.V1 requires Establish systematic controls in your processing integrity policy that ensure the completeness, accuracy, validity, timeliness, and authorization of system processing while main.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Processing integrity policy established,DM.PIPE.V1,"Establish systematic controls in your processing integrity policy that ensure the completeness, accuracy, validity, timeliness, and authorization of system processing while maintaining data quality throughout the entire processing lifecycle.","Overlap: governance and policy; data protection. Divergence: FedRAMP v5 Low emphasizes applications, collaborative, communications; OneLeet Controls emphasizes processing, data, integrity."
SC-20,SC-20 - Secure Name/Address Resolution Service (Authoritative Source),"a. Provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries; and b. Provide the means to indicate the security status of child zones and (if the child supports secure resolution services) to enable verification of a chain of trust among parent and child domains, when operating as part of a distributed, hierarchical namespace. Guidance Providing...",medium,functional,FedRAMP v5 Low SC-20 requires a. Provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to externa.... OneLeet Controls DM.SDPE.V1 requires Establish and maintain a documented procedure for the secure disposal of electronic and physical media containing protected or classified data. This process renders the data unu.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Secure disposal process established,DM.SDPE.V1,"Establish and maintain a documented procedure for the secure disposal of electronic and physical media containing protected or classified data. This process renders the data unusable, unreadable, and indecipherable to prevent unauthorized access.","Shared scope: access control; incident response; data protection. FedRAMP v5 Low additionally includes address, authoritative, communications; OneLeet Controls emphasizes data, disposal, classified."
SC-21,SC-21 - Secure Name/Address Resolution Service (Recursive or Caching Resolver),Request and perform data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources. Guidance Each client of name resolution services either performs this validation on its own or has authenticated channels to trusted validation providers. Systems that provide name and address resolution services for local clients include recursive resolving or caching domain name system (DNS) servers. DNS client resolvers eith...,medium,functional,FedRAMP v5 Low SC-21 requires Request and perform data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources. Guidance.... OneLeet Controls AC.SA.V1 requires Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.. Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Secure authentication,AC.SA.V1,Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.,"Shared scope: access control; audit and monitoring. FedRAMP v5 Low additionally includes address, data, name; OneLeet Controls emphasizes access, authorization, based."
SC-22,SC-22 - Architecture and Provisioning for Name/Address Resolution Service,"Ensure the systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal and external role separation. Guidance Systems that provide name and address resolution services include domain name system (DNS) servers. To eliminate single points of failure in systems and enhance redundancy, organizations employ at least two authoritative domain name system servers—one configured as the primary server and the other configured as the se...",medium,functional,FedRAMP v5 Low SC-22 requires Ensure the systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal and external role separation. Guidance.... OneLeet Controls DM.SUNM.V1 requires Implement and maintain a system use notification message that includes privacy and security notices and must be displayed and acknowledged before granting access to any system a.... Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,System use notification mechanisms established,DM.SUNM.V1,Implement and maintain a system use notification message that includes privacy and security notices and must be displayed and acknowledged before granting access to any system accessing sensitive data.,"Overlap: access control; data protection. Divergence: FedRAMP v5 Low emphasizes address, name, resolution; OneLeet Controls emphasizes data, notification, access."
SC-28(1),SC-28(01) - Cryptographic Protection,Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on : . Guidance The selection of cryptographic mechanisms is based on the need to protect the confidentiality and integrity of organizational information. The strength of mechanism is commensurate with the security category or classification of the information. Organizations have the flexibility to encrypt information on system components or media or encrypt data structu...,medium,functional,"FedRAMP v5 Low SC-28(1) requires Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on : . Guidance The selection of cryptographic mechan.... OneLeet Controls OS.POR.V1 requires Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.. Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Protection of records,OS.POR.V1,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","Shared scope: access control; data protection. FedRAMP v5 Low additionally includes cryptographic, communications, disclosure; OneLeet Controls emphasizes records, access, destruction."
SC-28,SC-28 - Protection of Information at Rest,"Protect the of the following information at rest: . Guidance Information at rest refers to the state of information when it is not in process or in transit and is located on system components. Such components include internal or external hard disk drives, storage area network devices, or databases. However, the focus of protecting information at rest is not on the type of storage device or frequency of access but rather on the state of the information. Information at rest addresses the confid...",medium,functional,"FedRAMP v5 Low SC-28 requires Protect the of the following information at rest: . Guidance Information at rest refers to the state of information when it is not in process or in transit and is located on sys.... OneLeet Controls OS.POR.V1 requires Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.. Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Protection of records,OS.POR.V1,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","Shared scope: access control; data protection. FedRAMP v5 Low additionally includes rest, communications, following; OneLeet Controls emphasizes records, unauthorized, access."
SC-39,SC-39 - Process Isolation,"Maintain a separate execution domain for each executing system process. Guidance Systems can maintain separate execution domains for each executing process by assigning each process a separate address space. Each system process has a distinct address space so that communication between processes is performed in a manner controlled through the security functions, and one process cannot modify the executing code of another process. Maintaining separate execution domains for executing processes...",medium,functional,FedRAMP v5 Low SC-39 requires Maintain a separate execution domain for each executing system process. Guidance Systems can maintain separate execution domains for each executing process by assigning each pro.... OneLeet Controls DM.SDPE.V1 requires Establish and maintain a documented procedure for the secure disposal of electronic and physical media containing protected or classified data. This process renders the data unu.... Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Secure disposal process established,DM.SDPE.V1,"Establish and maintain a documented procedure for the secure disposal of electronic and physical media containing protected or classified data. This process renders the data unusable, unreadable, and indecipherable to prevent unauthorized access.","Overlap: access control; data protection. Divergence: FedRAMP v5 Low emphasizes system, communications, domain; OneLeet Controls emphasizes data, disposal, secure."
SI-1,SI-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. system and information integrity policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the system and information integrity policy and the associated system and information int...",medium,functional,"FedRAMP v5 Low SI-1 requires a. Develop, document, and disseminate to : 1. system and information integrity policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordin.... OneLeet Controls OS.ISPE.V1 requires Develop and maintain an information security policy that outlines your approach to protecting information assets and systems.. Both address governance and policy. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Information security policy established,OS.ISPE.V1,Develop and maintain an information security policy that outlines your approach to protecting information assets and systems.,"Shared scope: governance and policy; data protection. FedRAMP v5 Low additionally includes integrity, procedures, si-01; OneLeet Controls emphasizes approach, assets, develop."
SI-2,SI-02 - Flaw Remediation,"a. Identify, report, and correct system flaws; b. Test software and firmware updates related to flaw remediation for effectiveness and potential side effects before installation; c. Install security-relevant software and firmware updates within of the release of the updates; and d. Incorporate flaw remediation into the organizational configuration management process. Guidance The need to remediate system flaws applies to all types of software and firmware. Organizations identify systems affec...",medium,functional,"FedRAMP v5 Low SI-2 requires a. Identify, report, and correct system flaws; b. Test software and firmware updates related to flaw remediation for effectiveness and potential side effects before installation.... OneLeet Controls DM.TGAR.V1 requires This control ensures that any gaps identified in the privacy program—whether through audits, assessments, or regulatory reviews—are formally tracked and addressed. It requires t.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Track Gaps and Remediation,DM.TGAR.V1,"This control ensures that any gaps identified in the privacy program—whether through audits, assessments, or regulatory reviews—are formally tracked and addressed. It requires the organization to document each gap, assign remediation actions, monitor progress, and verify completion to maintain compliance with CCPA and related privacy requirements. The control supports continuous improvement by ensuring that privacy risks are systematically mitigated and accountability is maintained.","Shared scope: access control; risk management; audit and monitoring; data protection. FedRAMP v5 Low additionally includes flaw, integrity, si-02; OneLeet Controls emphasizes gaps, addressed, assessments."
SI-3,SI-03 - Malicious Code Protection,"a. Implement malicious code protection mechanisms at system entry and exit points to detect and eradicate malicious code; b. Automatically update malicious code protection mechanisms as new releases are available in accordance with organizational configuration management policy and procedures; c. Configure malicious code protection mechanisms to: 1. Perform periodic scans of the system and real-time scans of files from external sources at as the files are downloaded, opened, or executed in ac...",medium,functional,"FedRAMP v5 Low SI-3 requires a. Implement malicious code protection mechanisms at system entry and exit points to detect and eradicate malicious code; b. Automatically update malicious code protection mecha.... OneLeet Controls OS.POR.V1 requires Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.. Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Protection of records,OS.POR.V1,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","Shared scope: access control; data protection. FedRAMP v5 Low additionally includes code, integrity, malicious; OneLeet Controls emphasizes records, unauthorized, access."
SI-4,SI-04 - System Monitoring,"a. Monitor the system to detect: 1. Attacks and indicators of potential attacks in accordance with the following monitoring objectives: ; and 2. Unauthorized local, network, and remote connections; b. Identify unauthorized use of the system through the following techniques and methods: ; c. Invoke internal monitoring capabilities or deploy monitoring devices: 1. Strategically within the system to collect organization-determined essential information; and 2. At ad hoc locations within the syst...",high,functional,"FedRAMP v5 Low SI-4 requires a. Monitor the system to detect: 1. Attacks and indicators of potential attacks in accordance with the following monitoring objectives: ; and 2. Unauthorized local, network, and.... OneLeet Controls MI.ASME.V1 requires Establish ongoing monitoring of AI systems to track performance, detect issues, identify drift, and ensure continued safe and effective operation in production.. Both address incident response. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,7,AI system monitoring established,MI.ASME.V1,"Establish ongoing monitoring of AI systems to track performance, detect issues, identify drift, and ensure continued safe and effective operation in production.","Shared scope: incident response; audit and monitoring. FedRAMP v5 Low additionally includes integrity, si-04; OneLeet Controls emphasizes continued, detect, drift."
SI-5,"SI-05 - Security Alerts, Advisories, and Directives","a. Receive system security alerts, advisories, and directives from on an ongoing basis; b. Generate internal security alerts, advisories, and directives as deemed necessary; c. Disseminate security alerts, advisories, and directives to: ; and d. Implement security directives in accordance with established time frames, or notify the issuing organization of the degree of noncompliance. Guidance The Cybersecurity and Infrastructure Security Agency (CISA) generates security alerts and advisories...",medium,functional,"FedRAMP v5 Low SI-5 requires a. Receive system security alerts, advisories, and directives from on an ongoing basis; b. Generate internal security alerts, advisories, and directives as deemed necessary; c..... OneLeet Controls OS.STSA.V1 requires Create a system to receive ongoing security alerts, advisories, and directives from trusted sources and share them with your team to address any risks as necessary.. Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Subscribe to security advisories and alerts,OS.STSA.V1,"Create a system to receive ongoing security alerts, advisories, and directives from trusted sources and share them with your team to address any risks as necessary.","Overlap: none identified. Divergence: FedRAMP v5 Low emphasizes integrity, si-05; OneLeet Controls emphasizes address, create, necessary."
SI-12,SI-12 - Information Management and Retention,"Manage and retain information within the system and information output from the system in accordance with applicable laws, executive orders, directives, regulations, policies, standards, guidelines and operational requirements. Guidance Information management and retention requirements cover the full life cycle of information, in some cases extending beyond system disposal. Information to be retained may also include policies, procedures, plans, reports, data output from control implementatio...",medium,functional,"FedRAMP v5 Low SI-12 requires Manage and retain information within the system and information output from the system in accordance with applicable laws, executive orders, directives, regulations, policies, s.... OneLeet Controls DM.DMAR.V1 requires A data management and retention policy is established, outlining guidelines for how long data should be retained and how it should be managed throughout its lifecycle.. Both address governance and policy. The requirements are materially equivalent in scope and intent.",equal,9,Data management and retention policy established,DM.DMAR.V1,"A data management and retention policy is established, outlining guidelines for how long data should be retained and how it should be managed throughout its lifecycle.",Shared scope: governance and policy; data protection. No material divergence detected.
SR-1,SR-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. supply chain risk management policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the supply chain risk management policy and the associated supply chain risk management contr...",medium,functional,"FedRAMP v5 Low SR-1 requires a. Develop, document, and disseminate to : 1. supply chain risk management policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordinatio.... OneLeet Controls RM.RMPE.V1 requires A risk management policy is established that outlines the organization's approach to identifying, assessing, and mitigating information security risks.. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Risk management policy established,RM.RMPE.V1,"A risk management policy is established that outlines the organization's approach to identifying, assessing, and mitigating information security risks.","Overlap: risk management; governance and policy. Divergence: FedRAMP v5 Low emphasizes chain, procedures, sr-01; OneLeet Controls emphasizes established, approach, assessing."
