FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,NIST 800-82 r3 Moderate Requirement Title,Target ID #,NIST 800-82 r3 Moderate Requirement Description,Notes
SA-3,SA-03 - System Development Life Cycle,"Acquire, develop, and manage the system using that incorporates information security and privacy considerations; b.",high,semantic,"StateRAMP Rev5 Moderate SA-3 requires Acquire, develop, and manage the system using that incorporates information security and privacy considerations; b.. NIST 800-82 r3 Moderate SA-3 requires Acquire, develop, and manage the system using that incorporates information security and privacy considerations; b.. Both address OT cybersecurity safeguards.",equal,10,SA-03 - System Development Life Cycle,SA-3,"Acquire, develop, and manage the system using that incorporates information security and privacy considerations; b.",Auto-mapped via ID-first + lexical scoring (score=1.000).
SA-4,SA-04 - Acquisition Process,"Include the following requirements, descriptions, and criteria, explicitly or by reference, using in the acquisition contract for the system, system component, or system service: a.",high,semantic,"StateRAMP Rev5 Moderate SA-4 requires Include the following requirements, descriptions, and criteria, explicitly or by reference, using in the acquisition contract for the system, system component, or system service: a.. NIST 800-82 r3 Moderate SA-4 requires Include the following requirements, descriptions, and criteria, explicitly or by reference, using in the acquisition contract for the system, system component, or system service: a.. Both address OT cybersecurity safeguards.",equal,10,SA-04 - Acquisition Process,SA-4,"Include the following requirements, descriptions, and criteria, explicitly or by reference, using in the acquisition contract for the system, system component, or system service: a.",Auto-mapped via ID-first + lexical scoring (score=0.935).
SA-4(1),SA-04(01) - Functional Properties of Controls,"Require the developer of the system, system component, or system service to provide a description of the functional properties of the controls to be implemented.",high,semantic,"StateRAMP Rev5 Moderate SA-4(1) requires Require the developer of the system, system component, or system service to provide a description of the functional properties of the controls to be implemented.. NIST 800-82 r3 Moderate SA-4(1) requires Require the developer of the system, system component, or system service to provide a description of the functional properties of the controls to be implemented.. Both address OT cybersecurity safeguards.",subset_of,7,SA-04(01) - Functional Properties of Controls,SA-4(1),"Require the developer of the system, system component, or system service to provide a description of the functional properties of the controls to be implemented.",Auto-mapped via ID-first + lexical scoring (score=0.659). Reclassified to subset_of (equal>50% safeguard).
SA-4(2),SA-04(02) - Design and Implementation Information for Controls,"Require the developer of the system, system component, or system service to provide design and implementation information for the controls that includes: at .",high,semantic,"StateRAMP Rev5 Moderate SA-4(2) requires Require the developer of the system, system component, or system service to provide design and implementation information for the controls that includes: at .. NIST 800-82 r3 Moderate SA-4(2) requires Require the developer of the system, system component, or system service to provide design and implementation information for the controls that includes: at .. Both address OT cybersecurity safeguards.",subset_of,7,SA-04(02) - Design and Implementation Information for Controls,SA-4(2),"Require the developer of the system, system component, or system service to provide design and implementation information for the controls that includes: at .",Auto-mapped via ID-first + lexical scoring (score=0.866). Reclassified to subset_of (equal>50% safeguard).
SA-4(9),"SA-04(09) - Functions, Ports, Protocols, and Services in Use","Require the developer of the system, system component, or system service to identify the functions, ports, protocols, and services intended for organizational use.",high,semantic,"StateRAMP Rev5 Moderate SA-4(9) requires Require the developer of the system, system component, or system service to identify the functions, ports, protocols, and services intended for organizational use.. NIST 800-82 r3 Moderate SA-4(9) requires Require the developer of the system, system component, or system service to identify the functions, ports, protocols, and services intended for organizational use.. Both address OT cybersecurity safeguards.",subset_of,7,"SA-04(09) - Functions, Ports, Protocols, and Services in Use",SA-4(9),"Require the developer of the system, system component, or system service to identify the functions, ports, protocols, and services intended for organizational use.",Auto-mapped via ID-first + lexical scoring (score=0.794). Reclassified to subset_of (equal>50% safeguard).
SA-5,SA-05 - System Documentation,"Obtain or develop administrator documentation for the system, system component, or system service that describes: 1.",high,semantic,"StateRAMP Rev5 Moderate SA-5 requires Obtain or develop administrator documentation for the system, system component, or system service that describes: 1.. NIST 800-82 r3 Moderate SA-5 requires Obtain or develop administrator documentation for the system, system component, or system service that describes: 1.. Both address OT cybersecurity safeguards.",equal,10,SA-05 - System Documentation,SA-5,"Obtain or develop administrator documentation for the system, system component, or system service that describes: 1.",Auto-mapped via ID-first + lexical scoring (score=1.000).
SA-8,SA-08 - Security and Privacy Engineering Principles,"Apply the following systems security and privacy engineering principles in the specification, design, development, implementation, and modification of the system and system components: .",high,semantic,"StateRAMP Rev5 Moderate SA-8 requires Apply the following systems security and privacy engineering principles in the specification, design, development, implementation, and modification of the system and system components: .. NIST 800-82 r3 Moderate SA-8 requires Apply the following systems security and privacy engineering principles in the specification, design, development, implementation, and modification of the system and system components: .. Both address OT cybersecurity safeguards.",equal,10,SA-08 - Security and Privacy Engineering Principles,SA-8,"Apply the following systems security and privacy engineering principles in the specification, design, development, implementation, and modification of the system and system components: .",Auto-mapped via ID-first + lexical scoring (score=1.000).
SA-9,SA-09 - External System Services,Require that providers of external system services comply with organizational security and privacy requirements and employ the following controls: ; b.,high,semantic,StateRAMP Rev5 Moderate SA-9 requires Require that providers of external system services comply with organizational security and privacy requirements and employ the following controls: ; b.. NIST 800-82 r3 Moderate SA-9 requires Require that providers of external system services comply with organizational security and privacy requirements and employ the following controls: ; b.. Both address OT cybersecurity safeguards.,equal,10,SA-09 - External System Services,SA-9,Require that providers of external system services comply with organizational security and privacy requirements and employ the following controls: ; b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
SA-9(1),SA-09(01) - Risk Assessments and Organizational Approvals,(a) Conduct an organizational assessment of risk prior to the acquisition or outsourcing of information security services; and (b) Verify that the acquisition or outsourcing of dedicated information security services is approved by .,medium,functional,"StateRAMP Rev5 Moderate SA-9(1) requires (a) Conduct an organizational assessment of risk prior to the acquisition or outsourcing of information security services; and (b) Verify that the acquisition or outsourcing of dedicated information security services is approved by .. NIST 800-82 r3 Moderate SA-2 requires Determine the high-level information security and privacy requirements for the system or system service in mission and business process planning; b.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,SA-02 - Allocation of Resources,SA-2,Determine the high-level information security and privacy requirements for the system or system service in mission and business process planning; b.,Auto-mapped via ID-first + lexical scoring (score=0.328).
SA-9(2),"SA-09(02) - Identification of Functions, Ports, Protocols, and Services","Require providers of the following external system services to identify the functions, ports, protocols, and other services required for the use of such services: .",high,semantic,"StateRAMP Rev5 Moderate SA-9(2) requires Require providers of the following external system services to identify the functions, ports, protocols, and other services required for the use of such services: .. NIST 800-82 r3 Moderate SA-9(2) requires Require providers of the following external system services to identify the functions, ports, protocols, and other services required for the use of such services: .. Both address OT cybersecurity safeguards.",equal,10,"SA-09(02) - Identification of Functions, Ports, Protocols, and Services",SA-9(2),"Require providers of the following external system services to identify the functions, ports, protocols, and other services required for the use of such services: .",Auto-mapped via ID-first + lexical scoring (score=1.000).
SA-9(5),"SA-09(05) - Processing, Storage, and Service Location",Restrict the location of to based on .,medium,functional,"StateRAMP Rev5 Moderate SA-9(5) requires Restrict the location of to based on .. NIST 800-82 r3 Moderate SA-9(2) requires Require providers of the following external system services to identify the functions, ports, protocols, and other services required for the use of such services: .. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,"SA-09(02) - Identification of Functions, Ports, Protocols, and Services",SA-9(2),"Require providers of the following external system services to identify the functions, ports, protocols, and other services required for the use of such services: .",Auto-mapped via ID-first + lexical scoring (score=0.368).
SA-10,SA-10 - Developer Configuration Management,"Require the developer of the system, system component, or system service to: a.",high,semantic,"StateRAMP Rev5 Moderate SA-10 requires Require the developer of the system, system component, or system service to: a.. NIST 800-82 r3 Moderate SA-10 requires Require the developer of the system, system component, or system service to: a.. Both address OT cybersecurity safeguards.",equal,10,SA-10 - Developer Configuration Management,SA-10,"Require the developer of the system, system component, or system service to: a.",Auto-mapped via ID-first + lexical scoring (score=0.917).
SA-11,SA-11 - Developer Testing and Evaluation,"Require the developer of the system, system component, or system service, at all post-design stages of the system development life cycle, to: a.",high,semantic,"StateRAMP Rev5 Moderate SA-11 requires Require the developer of the system, system component, or system service, at all post-design stages of the system development life cycle, to: a.. NIST 800-82 r3 Moderate SA-11 requires Require the developer of the system, system component, or system service, at all post-design stages of the system development life cycle, to: a.. Both address OT cybersecurity safeguards.",equal,10,SA-11 - Developer Testing and Evaluation,SA-11,"Require the developer of the system, system component, or system service, at all post-design stages of the system development life cycle, to: a.",Auto-mapped via ID-first + lexical scoring (score=1.000).
SA-11(1),SA-11(01) - Static Code Analysis,"Require the developer of the system, system component, or system service to employ static code analysis tools to identify common flaws and document the results of the analysis.",medium,functional,"StateRAMP Rev5 Moderate SA-11(1) requires Require the developer of the system, system component, or system service to employ static code analysis tools to identify common flaws and document the results of the analysis.. NIST 800-82 r3 Moderate SA-11 requires Require the developer of the system, system component, or system service, at all post-design stages of the system development life cycle, to: a.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,SA-11 - Developer Testing and Evaluation,SA-11,"Require the developer of the system, system component, or system service, at all post-design stages of the system development life cycle, to: a.",Auto-mapped via ID-first + lexical scoring (score=0.379).
SA-11(2),SA-11(02) - Threat Modeling and Vulnerability Analyses,"Require the developer of the system, system component, or system service to perform threat modeling and vulnerability analyses during development and the subsequent testing and evaluation of the system, component, or service that: (a) Uses the following contextual information: ; (b) Employs the foll...",high,functional,"StateRAMP Rev5 Moderate SA-11(2) requires Require the developer of the system, system component, or system service to perform threat modeling and vulnerability analyses during development and the subsequent testing and evaluation of the system, component, or service that: (a) Uses the following contextual information: ; (b) Employs the foll.... NIST 800-82 r3 Moderate SA-11 requires Require the developer of the system, system component, or system service, at all post-design stages of the system development life cycle, to: a.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,4,SA-11 - Developer Testing and Evaluation,SA-11,"Require the developer of the system, system component, or system service, at all post-design stages of the system development life cycle, to: a.",Auto-mapped via ID-first + lexical scoring (score=0.395).
SA-15,"SA-15 - Development Process, Standards, and Tools","Require the developer of the system, system component, or system service to follow a documented development process that: 1.",high,semantic,"StateRAMP Rev5 Moderate SA-15 requires Require the developer of the system, system component, or system service to follow a documented development process that: 1.. NIST 800-82 r3 Moderate SA-15 requires Require the developer of the system, system component, or system service to follow a documented development process that: 1.. Both address OT cybersecurity safeguards.",equal,10,"SA-15 - Development Process, Standards, and Tools",SA-15,"Require the developer of the system, system component, or system service to follow a documented development process that: 1.",Auto-mapped via ID-first + lexical scoring (score=1.000).
SA-15(3),SA-15(03) - Criticality Analysis,"Require the developer of the system, system component, or system service to perform a criticality analysis: (a) At the following decision points in the system development life cycle: ; and (b) At the following level of rigor: .",high,semantic,"StateRAMP Rev5 Moderate SA-15(3) requires Require the developer of the system, system component, or system service to perform a criticality analysis: (a) At the following decision points in the system development life cycle: ; and (b) At the following level of rigor: .. NIST 800-82 r3 Moderate SA-15(3) requires Require the developer of the system, system component, or system service to perform a criticality analysis: (a) At the following decision points in the system development life cycle: ; and (b) At the following level of rigor: .. Both address OT cybersecurity safeguards.",equal,10,SA-15(03) - Criticality Analysis,SA-15(3),"Require the developer of the system, system component, or system service to perform a criticality analysis: (a) At the following decision points in the system development life cycle: ; and (b) At the following level of rigor: .",Auto-mapped via ID-first + lexical scoring (score=1.000).
SA-22,SA-22 - Unsupported System Components,"Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or b.",high,semantic,"StateRAMP Rev5 Moderate SA-22 requires Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or b.. NIST 800-82 r3 Moderate SA-22 requires Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or b.. Both address OT cybersecurity safeguards.",subset_of,7,SA-22 - Unsupported System Components,SA-22,"Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or b.",Auto-mapped via ID-first + lexical scoring (score=0.800). Reclassified to subset_of (equal>50% safeguard).
SC-1,SC-01 - Policy and Procedures,"Develop, document, and disseminate to : 1.",high,semantic,"StateRAMP Rev5 Moderate SC-1 requires Develop, document, and disseminate to : 1.. NIST 800-82 r3 Moderate SC-1 requires Develop, document, and disseminate to : 1.. Both address OT cybersecurity safeguards.",equal,10,SC-01 - Policy and Procedures,SC-1,"Develop, document, and disseminate to : 1.",Auto-mapped via ID-first + lexical scoring (score=0.948).
SC-2,SC-02 - Separation of System and User Functionality,"Separate user functionality, including user interface services, from system management functionality.",high,semantic,"StateRAMP Rev5 Moderate SC-2 requires Separate user functionality, including user interface services, from system management functionality.. NIST 800-82 r3 Moderate SC-2 requires Separate user functionality, including user interface services, from system management functionality.. Both address OT cybersecurity safeguards.",subset_of,7,SC-02 - Separation of System and User Functionality,SC-2,"Separate user functionality, including user interface services, from system management functionality.",Auto-mapped via ID-first + lexical scoring (score=0.865). Reclassified to subset_of (equal>50% safeguard).
SC-4,SC-04 - Information in Shared System Resources,Prevent unauthorized and unintended information transfer via shared system resources.,high,semantic,StateRAMP Rev5 Moderate SC-4 requires Prevent unauthorized and unintended information transfer via shared system resources.. NIST 800-82 r3 Moderate SC-4 requires Prevent unauthorized and unintended information transfer via shared system resources.. Both address OT cybersecurity safeguards.,subset_of,7,SC-04 - Information in Shared System Resources,SC-4,Prevent unauthorized and unintended information transfer via shared system resources.,Auto-mapped via ID-first + lexical scoring (score=0.859). Reclassified to subset_of (equal>50% safeguard).
SC-5,SC-05 - Denial-of-service Protection,the effects of the following types of denial-of-service events: ; and b.,high,semantic,StateRAMP Rev5 Moderate SC-5 requires the effects of the following types of denial-of-service events: ; and b.. NIST 800-82 r3 Moderate SC-5 requires the effects of the following types of denial-of-service events: ; and b.. Both address OT cybersecurity safeguards.,subset_of,7,SC-05 - Denial-of-service Protection,SC-5,the effects of the following types of denial-of-service events: ; and b.,Auto-mapped via ID-first + lexical scoring (score=0.797). Reclassified to subset_of (equal>50% safeguard).
SC-7,SC-07 - Boundary Protection,Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system; b.,high,semantic,StateRAMP Rev5 Moderate SC-7 requires Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system; b.. NIST 800-82 r3 Moderate SC-7 requires Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system; b.. Both address OT cybersecurity safeguards.,subset_of,7,SC-07 - Boundary Protection,SC-7,Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system; b.,Auto-mapped via ID-first + lexical scoring (score=0.792). Reclassified to subset_of (equal>50% safeguard).
SC-7(3),SC-07(03) - Access Points,Limit the number of external network connections to the system.,high,semantic,StateRAMP Rev5 Moderate SC-7(3) requires Limit the number of external network connections to the system.. NIST 800-82 r3 Moderate SC-7(3) requires Limit the number of external network connections to the system.. Both address OT cybersecurity safeguards.,equal,10,SC-07(03) - Access Points,SC-7(3),Limit the number of external network connections to the system.,Auto-mapped via ID-first + lexical scoring (score=1.000).
SC-7(4),SC-07(04) - External Telecommunications Services,(a) Implement a managed interface for each external telecommunication service; (b) Establish a traffic flow policy for each managed interface; (c) Protect the confidentiality and integrity of the information being transmitted across each interface; (d) Document each exception to the traffic flow pol...,high,semantic,StateRAMP Rev5 Moderate SC-7(4) requires (a) Implement a managed interface for each external telecommunication service; (b) Establish a traffic flow policy for each managed interface; (c) Protect the confidentiality and integrity of the information being transmitted across each interface; (d) Document each exception to the traffic flow pol.... NIST 800-82 r3 Moderate SC-7(4) requires (a) Implement a managed interface for each external telecommunication service; (b) Establish a traffic flow policy for each managed interface; (c) Protect the confidentiality and integrity of the information being transmitted across each interface; (d) Document each exception to the traffic flow pol.... Both address OT cybersecurity safeguards.,equal,10,SC-07(04) - External Telecommunications Services,SC-7(4),(a) Implement a managed interface for each external telecommunication service; (b) Establish a traffic flow policy for each managed interface; (c) Protect the confidentiality and integrity of the information being transmitted across each interface; (d) Document each exception to the traffic flow pol...,Auto-mapped via ID-first + lexical scoring (score=1.000).
SC-7(5),SC-07(05) - Deny by Default — Allow by Exception,Deny network communications traffic by default and allow network communications traffic by exception .,high,semantic,StateRAMP Rev5 Moderate SC-7(5) requires Deny network communications traffic by default and allow network communications traffic by exception .. NIST 800-82 r3 Moderate SC-7(5) requires Deny network communications traffic by default and allow network communications traffic by exception .. Both address OT cybersecurity safeguards.,subset_of,7,SC-07(05) - Deny by Default â€” Allow by Exception,SC-7(5),Deny network communications traffic by default and allow network communications traffic by exception .,Auto-mapped via ID-first + lexical scoring (score=0.684). Reclassified to subset_of (equal>50% safeguard).
SC-7(7),SC-07(07) - Split Tunneling for Remote Devices,Prevent split tunneling for remote devices connecting to organizational systems unless the split tunnel is securely provisioned using .,high,semantic,StateRAMP Rev5 Moderate SC-7(7) requires Prevent split tunneling for remote devices connecting to organizational systems unless the split tunnel is securely provisioned using .. NIST 800-82 r3 Moderate SC-7(7) requires Prevent split tunneling for remote devices connecting to organizational systems unless the split tunnel is securely provisioned using .. Both address OT cybersecurity safeguards.,equal,10,SC-07(07) - Split Tunneling for Remote Devices,SC-7(7),Prevent split tunneling for remote devices connecting to organizational systems unless the split tunnel is securely provisioned using .,Auto-mapped via ID-first + lexical scoring (score=1.000).
SC-7(8),SC-07(08) - Route Traffic to Authenticated Proxy Servers,Route to through authenticated proxy servers at managed interfaces.,high,semantic,StateRAMP Rev5 Moderate SC-7(8) requires Route to through authenticated proxy servers at managed interfaces.. NIST 800-82 r3 Moderate SC-7(8) requires Route to through authenticated proxy servers at managed interfaces.. Both address OT cybersecurity safeguards.,equal,10,SC-07(08) - Route Traffic to Authenticated Proxy Servers,SC-7(8),Route to through authenticated proxy servers at managed interfaces.,Auto-mapped via ID-first + lexical scoring (score=1.000).
SC-7(12),SC-07(12) - Host-based Protection,Discussion Host-based boundary protection mechanisms include host-based firewalls.,medium,functional,"StateRAMP Rev5 Moderate SC-7(12) requires Discussion Host-based boundary protection mechanisms include host-based firewalls.. NIST 800-82 r3 Moderate SC-7(18) requires Prevent systems from entering unsecure states in the event of an operational failure of a boundary protection device.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,SC-07(18) - Fail Secure,SC-7(18),Prevent systems from entering unsecure states in the event of an operational failure of a boundary protection device.,Auto-mapped via ID-first + lexical scoring (score=0.344).
SC-7(18),SC-07(18) - Fail Secure,Prevent systems from entering unsecure states in the event of an operational failure of a boundary protection device.,high,semantic,StateRAMP Rev5 Moderate SC-7(18) requires Prevent systems from entering unsecure states in the event of an operational failure of a boundary protection device.. NIST 800-82 r3 Moderate SC-7(18) requires Prevent systems from entering unsecure states in the event of an operational failure of a boundary protection device.. Both address OT cybersecurity safeguards.,subset_of,7,SC-07(18) - Fail Secure,SC-7(18),Prevent systems from entering unsecure states in the event of an operational failure of a boundary protection device.,Auto-mapped via ID-first + lexical scoring (score=0.912). Reclassified to subset_of (equal>50% safeguard).
SC-8,SC-08 - Transmission Confidentiality and Integrity,Protect the of transmitted information.,high,semantic,StateRAMP Rev5 Moderate SC-8 requires Protect the of transmitted information.. NIST 800-82 r3 Moderate SC-8 requires Protect the of transmitted information.. Both address OT cybersecurity safeguards.,subset_of,7,SC-08 - Transmission Confidentiality and Integrity,SC-8,Protect the of transmitted information.,Auto-mapped via ID-first + lexical scoring (score=0.731). Reclassified to subset_of (equal>50% safeguard).
SC-8(1),SC-08(01) - Cryptographic Protection,Implement cryptographic mechanisms to during transmission.,high,functional,"StateRAMP Rev5 Moderate SC-8(1) requires Implement cryptographic mechanisms to during transmission.. NIST 800-82 r3 Moderate SC-8(1) requires Implement cryptographic mechanisms to during transmission.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,4,SC-08(01) - Cryptographic Protection,SC-8(1),Implement cryptographic mechanisms to during transmission.,Auto-mapped via ID-first + lexical scoring (score=0.423).
SC-10,SC-10 - Network Disconnect,Terminate the network connection associated with a communications session at the end of the session or after of inactivity.,medium,functional,"StateRAMP Rev5 Moderate SC-10 requires Terminate the network connection associated with a communications session at the end of the session or after of inactivity.. NIST 800-82 r3 Moderate SC-7(28) requires Prohibit the direct connection of to a public network.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,SC-07(28) - Connections to Public Networks,SC-7(28),Prohibit the direct connection of to a public network.,Auto-mapped via ID-first + lexical scoring (score=0.299).
SC-12,SC-12 - Cryptographic Key Establishment and Management,Establish and manage cryptographic keys when cryptography is employed within the system in accordance with the following key management requirements: .,high,semantic,StateRAMP Rev5 Moderate SC-12 requires Establish and manage cryptographic keys when cryptography is employed within the system in accordance with the following key management requirements: .. NIST 800-82 r3 Moderate SC-12 requires Establish and manage cryptographic keys when cryptography is employed within the system in accordance with the following key management requirements: .. Both address OT cybersecurity safeguards.,subset_of,7,SC-12 - Cryptographic Key Establishment and Management,SC-12,Establish and manage cryptographic keys when cryptography is employed within the system in accordance with the following key management requirements: .,Auto-mapped via ID-first + lexical scoring (score=0.785). Reclassified to subset_of (equal>50% safeguard).
SC-13,SC-13 - Cryptographic Protection,Implement the following types of cryptography required for each specified cryptographic use: .,high,semantic,StateRAMP Rev5 Moderate SC-13 requires Implement the following types of cryptography required for each specified cryptographic use: .. NIST 800-82 r3 Moderate SC-13 requires Implement the following types of cryptography required for each specified cryptographic use: .. Both address OT cybersecurity safeguards.,subset_of,7,SC-13 - Cryptographic Protection,SC-13,Implement the following types of cryptography required for each specified cryptographic use: .,Auto-mapped via ID-first + lexical scoring (score=0.625). Reclassified to subset_of (equal>50% safeguard).
SC-15,SC-15 - Collaborative Computing Devices and Applications,Prohibit remote activation of collaborative computing devices and applications with the following exceptions: ; and b.,high,semantic,StateRAMP Rev5 Moderate SC-15 requires Prohibit remote activation of collaborative computing devices and applications with the following exceptions: ; and b.. NIST 800-82 r3 Moderate SC-15 requires Prohibit remote activation of collaborative computing devices and applications with the following exceptions: ; and b.. Both address OT cybersecurity safeguards.,subset_of,7,SC-15 - Collaborative Computing Devices and Applications,SC-15,Prohibit remote activation of collaborative computing devices and applications with the following exceptions: ; and b.,Auto-mapped via ID-first + lexical scoring (score=0.674). Reclassified to subset_of (equal>50% safeguard).
SC-17,SC-17 - Public Key Infrastructure Certificates,Issue public key certificates under an or obtain public key certificates from an approved service provider; and b.,high,semantic,StateRAMP Rev5 Moderate SC-17 requires Issue public key certificates under an or obtain public key certificates from an approved service provider; and b.. NIST 800-82 r3 Moderate SC-17 requires Issue public key certificates under an or obtain public key certificates from an approved service provider; and b.. Both address OT cybersecurity safeguards.,equal,10,SC-17 - Public Key Infrastructure Certificates,SC-17,Issue public key certificates under an or obtain public key certificates from an approved service provider; and b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
SC-18,SC-18 - Mobile Code,Define acceptable and unacceptable mobile code and mobile code technologies; and b.,high,semantic,StateRAMP Rev5 Moderate SC-18 requires Define acceptable and unacceptable mobile code and mobile code technologies; and b.. NIST 800-82 r3 Moderate SC-18 requires Define acceptable and unacceptable mobile code and mobile code technologies; and b.. Both address OT cybersecurity safeguards.,equal,10,SC-18 - Mobile Code,SC-18,Define acceptable and unacceptable mobile code and mobile code technologies; and b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
SC-20,SC-20 - Secure Name/Address Resolution Service (Authoritative Source),Provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries; and b.,high,semantic,StateRAMP Rev5 Moderate SC-20 requires Provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries; and b.. NIST 800-82 r3 Moderate SC-20 requires Provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries; and b.. Both address OT cybersecurity safeguards.,subset_of,7,SC-20 - Secure Name/Address Resolution Service (Authoritative Source),SC-20,Provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries; and b.,Auto-mapped via ID-first + lexical scoring (score=0.627). Reclassified to subset_of (equal>50% safeguard).
SC-21,SC-21 - Secure Name/Address Resolution Service (Recursive or Caching Resolver),Request and perform data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources.,high,semantic,StateRAMP Rev5 Moderate SC-21 requires Request and perform data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources.. NIST 800-82 r3 Moderate SC-21 requires Request and perform data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources.. Both address OT cybersecurity safeguards.,subset_of,7,SC-21 - Secure Name/Address Resolution Service (Recursive or Caching Resolver),SC-21,Request and perform data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources.,Auto-mapped via ID-first + lexical scoring (score=0.561). Reclassified to subset_of (equal>50% safeguard).
SC-22,SC-22 - Architecture and Provisioning for Name/Address Resolution Service,Ensure the systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal and external role separation.,high,semantic,StateRAMP Rev5 Moderate SC-22 requires Ensure the systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal and external role separation.. NIST 800-82 r3 Moderate SC-22 requires Ensure the systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal and external role separation.. Both address OT cybersecurity safeguards.,subset_of,7,SC-22 - Architecture and Provisioning for Name/Address Resolution Service,SC-22,Ensure the systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal and external role separation.,Auto-mapped via ID-first + lexical scoring (score=0.872). Reclassified to subset_of (equal>50% safeguard).
SC-23,SC-23 - Session Authenticity,Protect the authenticity of communications sessions.,high,semantic,StateRAMP Rev5 Moderate SC-23 requires Protect the authenticity of communications sessions.. NIST 800-82 r3 Moderate SC-23 requires Protect the authenticity of communications sessions.. Both address OT cybersecurity safeguards.,subset_of,7,SC-23 - Session Authenticity,SC-23,Protect the authenticity of communications sessions.,Auto-mapped via ID-first + lexical scoring (score=0.842). Reclassified to subset_of (equal>50% safeguard).
SC-28,SC-28 - Protection of Information at Rest,Protect the of the following information at rest: .,high,semantic,StateRAMP Rev5 Moderate SC-28 requires Protect the of the following information at rest: .. NIST 800-82 r3 Moderate SC-28 requires Protect the of the following information at rest: .. Both address OT cybersecurity safeguards.,subset_of,7,SC-28 - Protection of Information at Rest,SC-28,Protect the of the following information at rest: .,Auto-mapped via ID-first + lexical scoring (score=0.659). Reclassified to subset_of (equal>50% safeguard).
SC-28(1),SC-28(01) - Cryptographic Protection,Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on : .,high,functional,"StateRAMP Rev5 Moderate SC-28(1) requires Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on : .. NIST 800-82 r3 Moderate SC-28(1) requires Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on : .. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,4,SC-28(01) - Cryptographic Protection,SC-28(1),Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on : .,Auto-mapped via ID-first + lexical scoring (score=0.446).
SC-39,SC-39 - Process Isolation,Maintain a separate execution domain for each executing system process.,high,semantic,StateRAMP Rev5 Moderate SC-39 requires Maintain a separate execution domain for each executing system process.. NIST 800-82 r3 Moderate SC-39 requires Maintain a separate execution domain for each executing system process.. Both address OT cybersecurity safeguards.,equal,10,SC-39 - Process Isolation,SC-39,Maintain a separate execution domain for each executing system process.,Auto-mapped via ID-first + lexical scoring (score=0.919).
SC-45,SC-45 - System Time Synchronization,Synchronize system clocks within and between systems and system components.,high,semantic,StateRAMP Rev5 Moderate SC-45 requires Synchronize system clocks within and between systems and system components.. NIST 800-82 r3 Moderate SC-45 requires Synchronize system clocks within and between systems and system components.. Both address OT cybersecurity safeguards.,equal,10,SC-45 - System Time Synchronization,SC-45,Synchronize system clocks within and between systems and system components.,Auto-mapped via ID-first + lexical scoring (score=0.934).
