FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,GRC Toolkit Controls Requirement Title,Target ID #,GRC Toolkit Controls Requirement Description,Notes
ARCHITECTURE-6b,"Adequate resources (people, funding, and tools) are provided to support activities in the ARCHITECTURE domain","When determining the adequacy of resources, it may help to consider whether there are any ARCHITECTURE domain activities not currently being performed that the organization would perform if it had additional people, funding, or tools. An additional consideration may be whether the organization has implemented all practices it has targeted for implementation and whether additional resources are necessary to address potential gaps. Adequate resources are provided in the form of people, funding,...",medium,functional,"C2M2 ARCHITECTURE-6b requires When determining the adequacy of resources, it may help to consider whether there are any ARCHITECTURE domain activities not currently being performed that the organization woul.... GRC Toolkit Controls NET-20.1 requires Mechanisms exist to monitor the organization's email domain’s reputation and protect the email domain’s reputation.. Both address audit and monitoring. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Email Domain Reputation Protections,NET-20.1,Mechanisms exist to monitor the organization's email domain’s reputation and protect the email domain’s reputation.,"Overlap: audit and monitoring; data protection. Divergence: C2M2 emphasizes architecture, activities, funding; GRC Toolkit Controls emphasizes email, reputation, exist."
ARCHITECTURE-6c,Up-to-date policies or other organizational directives define requirements for activities in the ARCHITECTURE domain,"Activities in the ARCHITECTURE domain receive documented guidance and direction from the organization in the form of policies or similar directives. Strategic business objectives drive the development of documented policies or other organizational directives to ensure activities support the accomplishment of the organization’s mission. Policies or other organizational directives for ARCHITECTURE domain activities may contain · responsibility, authority, and ownership for performing ARCHITECTU...",medium,functional,"C2M2 ARCHITECTURE-6c requires Activities in the ARCHITECTURE domain receive documented guidance and direction from the organization in the form of policies or similar directives. Strategic business objective.... GRC Toolkit Controls CPL-03 requires Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's cybersecurity and data protection policies, standards and o.... Both address governance and policy. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Cybersecurity & Data Protection Assessments,CPL-03,"Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's cybersecurity and data protection policies, standards and other applicable requirements.","Shared scope: governance and policy; audit and monitoring. C2M2 additionally includes architecture, activities, directives; GRC Toolkit Controls emphasizes data, protection, applicable."
ARCHITECTURE-6d,"Responsibility, accountability, and authority for the performance of activities in the ARCHITECTURE domain are assigned to personnel",The intent of this practice is that specific people (or people in specific roles) are held accountable for ensuring the achievement of expected results of ARCHITECTURE domain activities and that they are given the appropriate authority to act and to perform their assigned responsibilities. These are examples of how to formalize responsibility and authority for ARCHITECTURE domain activities: · defining roles and responsibilities in policies (see ARCHITECTURE-5c) · developing position descript...,medium,functional,C2M2 ARCHITECTURE-6d requires The intent of this practice is that specific people (or people in specific roles) are held accountable for ensuring the achievement of expected results of ARCHITECTURE domain ac.... GRC Toolkit Controls TPM-06 requires Mechanisms exist to control personnel security requirements including security roles and responsibilities for third-party providers.. Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Third-Party Personnel Security,TPM-06,Mechanisms exist to control personnel security requirements including security roles and responsibilities for third-party providers.,"Overlap: access control. Divergence: C2M2 emphasizes architecture, activities, assigned; GRC Toolkit Controls emphasizes third-party, exist, including."
ARCHITECTURE-6e,Personnel performing activities in the ARCHITECTURE domain have the skills and knowledge needed to perform their assigned responsibilities,The organization must identify the skills and knowledge needed to perform ARCHITECTURE domain activities and identify skill and knowledge gaps in existing personnel. The organization can address gaps either by hiring qualified personnel or training existing personnel. It is important to note that managing and securing many technologies (such as virtualized or cloud-based environments) require specific training in specialized equipment and practices. Care should be taken to ensure that the lev...,medium,functional,C2M2 ARCHITECTURE-6e requires The organization must identify the skills and knowledge needed to perform ARCHITECTURE domain activities and identify skill and knowledge gaps in existing personnel. The organiz.... GRC Toolkit Controls CPL-04 requires Mechanisms exist to thoughtfully plan audits by including input from operational risk and compliance partners to minimize the impact of audit-related activities on business oper.... Both address risk management. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Audit Activities,CPL-04,Mechanisms exist to thoughtfully plan audits by including input from operational risk and compliance partners to minimize the impact of audit-related activities on business operations.,"Overlap: risk management; audit and monitoring. Divergence: C2M2 emphasizes architecture, knowledge, domain; GRC Toolkit Controls emphasizes compliance, audit, audit-related."
ARCHITECTURE-6f,The effectiveness of activities in the ARCHITECTURE domain is evaluated and tracked,"The organization should measure the performance of ARCHITECTURE activities to ensure they are being performed as described in plans, policies, and procedures for the ARCHITECTURE domain. Appropriate metrics should be developed and collected to detect deviations in performance and measure the extent to which ARCHITECTURE domain activities are achieving their intended purpose.",medium,functional,"C2M2 ARCHITECTURE-6f requires The organization should measure the performance of ARCHITECTURE activities to ensure they are being performed as described in plans, policies, and procedures for the ARCHITECTUR.... GRC Toolkit Controls CPL-03 requires Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's cybersecurity and data protection policies, standards and o.... Both address risk management. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Cybersecurity & Data Protection Assessments,CPL-03,"Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's cybersecurity and data protection policies, standards and other applicable requirements.","Shared scope: risk management; governance and policy. C2M2 additionally includes architecture, activities, domain; GRC Toolkit Controls emphasizes data, protection, applicable."
PROGRAM-1a,"The organization has a cybersecurity program strategy, which may be developed and managed in an ad hoc manner","The organization develops, implements, and maintains a cybersecurity program strategy that, in its simplest form, includes a list of cybersecurity objectives and related actions, activities, and tasks and a plan to implement them. For a C2M2-based program, areas of activity in the strategy could align with C2M2 domains and objectives. For example, one area of activity would be identifying and responding to cyber risks that affect the function’s assets and services. Further detail would descri...",medium,functional,"C2M2 PROGRAM-1a requires The organization develops, implements, and maintains a cybersecurity program strategy that, in its simplest form, includes a list of cybersecurity objectives and related actions.... GRC Toolkit Controls THR-01 requires Mechanisms exist to implement a threat intelligence program that includes a cross-organization information-sharing capability that can influence the development of the system an.... Both address incident response. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Threat Intelligence Program,THR-01,"Mechanisms exist to implement a threat intelligence program that includes a cross-organization information-sharing capability that can influence the development of the system and security architectures, selection of security solutions, monitoring, threat hunting, response and recovery activities.","Shared scope: incident response; risk management. C2M2 additionally includes organization, strategy, actions; GRC Toolkit Controls emphasizes threat, intelligence, architectures."
PROGRAM-1b,The cybersecurity program strategy defines goals and objectives for the organization’s cybersecurity activities,"In its simplest form, the cybersecurity program strategy should include a list of goals and objectives and at least a high-level plan for the actions, activities, and tasks that must be performed to meet them. These objectives should support the achievement and ongoing improvement of an appropriate cybersecurity posture and support the accomplishment of overall organizational strategic objectives. These are examples of a cybersecurity goal and related objectives: Goal: Minimize the impact of...",medium,functional,"C2M2 PROGRAM-1b requires In its simplest form, the cybersecurity program strategy should include a list of goals and objectives and at least a high-level plan for the actions, activities, and tasks that.... GRC Toolkit Controls GOV-19.2 requires Mechanisms exist to utilize defined Assessment Objectives (AO) to assess the implementation of requirements, when available.. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Assessment Objectives (AO),GOV-19.2,"Mechanisms exist to utilize defined Assessment Objectives (AO) to assess the implementation of requirements, when available.","Overlap: risk management; data protection. Divergence: C2M2 emphasizes activities, goals, strategy; GRC Toolkit Controls emphasizes assessment, assess, available."
PROGRAM-1c,"The cybersecurity program strategy and priorities are documented and aligned with the organization’s mission, strategic objectives, and risk to critical infrastructure","The cybersecurity program strategy is developed as part of the organization’s strategic business planning and specifically addresses the actions, activities, and tasks that must be performed to support achievement of the organization’s strategic objectives and to manage risks to critical infrastructure within the organization’s risk tolerances and appetite. Related Practices · Progression: This practice is part of a practice progression. Practice progressions are groups of related practices t...",medium,functional,"C2M2 PROGRAM-1c requires The cybersecurity program strategy is developed as part of the organization’s strategic business planning and specifically addresses the actions, activities, and tasks that must.... GRC Toolkit Controls RSK-13.2 requires Mechanisms exist to document executive leadership justification for selecting a specific course of action to manage material risk.. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Documented Justification For Material Risk Management Decisions,RSK-13.2,Mechanisms exist to document executive leadership justification for selecting a specific course of action to manage material risk.,"Overlap: risk management. Divergence: C2M2 emphasizes organization, strategic, critical; GRC Toolkit Controls emphasizes justification, management, material."
PROGRAM-1d,The cybersecurity program strategy defines the organization’s approach to provide program oversight and governance for cybersecurity activities,"Governance is a process of providing strategic direction for the organization while ensuring that it meets its obligations, appropriately manages risk, and efficiently uses finances and human resources to ensure that the cybersecurity program supports and sustains strategic objectives. Governance is focused on providing oversight of the cybersecurity program, not performing or managing process tasks to completion. For example, the process of overseeing the identification, definition, and inve...",medium,functional,"C2M2 PROGRAM-1d requires Governance is a process of providing strategic direction for the organization while ensuring that it meets its obligations, appropriately manages risk, and efficiently uses fina.... GRC Toolkit Controls GOV-10 requires Mechanisms exist to facilitate data governance to oversee the organization's policies, standards and procedures so that sensitive/regulated data is effectively managed and maint.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Data Governance,GOV-10,"Mechanisms exist to facilitate data governance to oversee the organization's policies, standards and procedures so that sensitive/regulated data is effectively managed and maintained in accordance with applicable statutory, regulatory and contractual obligations.","Overlap: governance and policy; data protection. Divergence: C2M2 emphasizes strategic, activities, approach; GRC Toolkit Controls emphasizes data, accordance, applicable."
PROGRAM-1e,The cybersecurity program strategy defines the structure and organization of the cybersecurity program,"The program strategy should contain an organization chart or some other descriptive document which includes the cybersecurity program’s structure, the roles in the program, and key activities associated with those roles. For example, a table could be used to describe departments (such as Security Operations Center), subfunctions within departments (such as vulnerability management), activities of the subfunction (such as scanning for, analyzing, and addressing vulnerabilities), and, if applic...",medium,functional,"C2M2 PROGRAM-1e requires The program strategy should contain an organization chart or some other descriptive document which includes the cybersecurity program’s structure, the roles in the program, and.... GRC Toolkit Controls GOV-04.1 requires Mechanisms exist to enforce an accountability structure so that appropriate teams and individuals are empowered, responsible and trained for mapping, measuring and managing data.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Stakeholder Accountability Structure,GOV-04.1,"Mechanisms exist to enforce an accountability structure so that appropriate teams and individuals are empowered, responsible and trained for mapping, measuring and managing data and technology-related risks.","Overlap: access control; risk management. Divergence: C2M2 emphasizes organization, roles, strategy; GRC Toolkit Controls emphasizes accountability, data, appropriate."
PROGRAM-1f,The cybersecurity program strategy identifies standards and guidelines intended to be followed by the program,"Standards or guidelines are identified to inform the implementation of practices in the cybersecurity program that will have implications for activities in all C2M2 domains. These may simply be the reference sources the organization consulted when developing the plan for performing the practices. They should include any standards or guidelines required by policy. If the organization is using C2M2 to guide its cybersecurity program activities, C2M2 could be one of the guidelines identified in...",medium,functional,"C2M2 PROGRAM-1f requires Standards or guidelines are identified to inform the implementation of practices in the cybersecurity program that will have implications for activities in all C2M2 domains. The.... GRC Toolkit Controls PRI-08 requires Mechanisms exist to conduct cybersecurity and data privacy testing, training and monitoring activities. Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,"Testing, Training & Monitoring",PRI-08,"Mechanisms exist to conduct cybersecurity and data privacy testing, training and monitoring activities","Overlap: governance and policy; audit and monitoring. Divergence: C2M2 emphasizes guidelines, standards, c2m2; GRC Toolkit Controls emphasizes data, monitoring, privacy."
PROGRAM-1g,"The cybersecurity program strategy identifies any applicable compliance requirements that must be satisfied by the program (for example, NERC CIP, TSA Pipeline Security Guidelines, PCI DSS, ISO, DoD CMMC)","Compliance requirements are typically imposed on the organization by local, state, or federal governments. Different compliance requirements may apply to some but not all assets in-scope for the cybersecurity program. The cybersecurity program should be aware of what compliance requirements must be fulfilled by the program and the scope of each requirement. Listing compliance requirements in the cybersecurity program strategy helps ensure that cybersecurity program stakeholders know what they...",medium,functional,"C2M2 PROGRAM-1g requires Compliance requirements are typically imposed on the organization by local, state, or federal governments. Different compliance requirements may apply to some but not all assets.... GRC Toolkit Controls TDA-04 requires Mechanisms exist to obtain, protect and distribute administrator documentation for Technology Assets, Applications and/or Services (TAAS) that describe: (1) Secure configuration.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Documentation Requirements,TDA-04,"Mechanisms exist to obtain, protect and distribute administrator documentation for Technology Assets, Applications and/or Services (TAAS) that describe: (1) Secure configuration, installation and operation of the TAAS; (2) Effective use and maintenance of security features/functions; and (3) Known vulnerabilities regarding configuration and use of administrative (e.g., privileged) functions.","Overlap: access control; data protection. Divergence: C2M2 emphasizes compliance, applicable, cip; GRC Toolkit Controls emphasizes configuration, documentation, taas."
PROGRAM-1h,"The cybersecurity program strategy is updated periodically and according to defined triggers, such as business changes, changes in the operating environment, and changes in the threat profile (THREAT-2e)","The organization should have a documented process to ensure that certain types of changes trigger an update of the cybersecurity program strategy. An example of a business change that would necessitate an update would be a change in the business that increases its exposure to cyber events, such as entering a new line of business. An example of a change in the operating environment that might necessitate an update would be the acquisition of a new customer management system that uses sensitive...",medium,functional,"C2M2 PROGRAM-1h requires The organization should have a documented process to ensure that certain types of changes trigger an update of the cybersecurity program strategy. An example of a business chang.... GRC Toolkit Controls NET-20.9 requires Mechanisms exist to incorporate submissions from users of phishing attempts, spam or otherwise malicious actions to better protect the organization.. Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,User Threat Reporting,NET-20.9,"Mechanisms exist to incorporate submissions from users of phishing attempts, spam or otherwise malicious actions to better protect the organization.","Overlap: incident response; risk management. Divergence: C2M2 emphasizes changes, strategy, according; GRC Toolkit Controls emphasizes actions, attempts, better."
PROGRAM-2a,"Senior management with proper authority provides support for the cybersecurity program, at least in an ad hoc manner","Having material support from senior management is necessary for implementing a cybersecurity program. The fundamental forms of support are providing resources (people, tools, and funding) and authority to perform cybersecurity activities. To provide such support, the senior managers themselves must have sufficient and relevant authority. Related Practices · Progression: This practice is part of a practice progression. Practice progressions are groups of related practices that represent increa...",medium,functional,"C2M2 PROGRAM-2a requires Having material support from senior management is necessary for implementing a cybersecurity program. The fundamental forms of support are providing resources (people, tools, an.... GRC Toolkit Controls NET-06.1 requires Mechanisms exist to implement security management subnets to isolate security tools and support components from other internal system components by implementing separate subnetw.... Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Security Management Subnets,NET-06.1,Mechanisms exist to implement security management subnets to isolate security tools and support components from other internal system components by implementing separate subnetworks with managed interfaces to other components of the system.,"Overlap: none identified. Divergence: C2M2 emphasizes senior, authority, having; GRC Toolkit Controls emphasizes components, other, subnets."
PROGRAM-2b,The cybersecurity program is established according to the cybersecurity program strategy,"The cybersecurity program is typically responsible for ensuring that the cybersecurity objectives as documented in the cybersecurity program strategy are achieved. For example, the cybersecurity program includes activities to ensure that adequate staff will be available to fulfill the requirements of the program strategy. Related Practices · Input From: Implementing PROGRAM-1b provides input that may be useful for implementing this practice. · Progression: This practice is part of a practice...",medium,functional,"C2M2 PROGRAM-2b requires The cybersecurity program is typically responsible for ensuring that the cybersecurity objectives as documented in the cybersecurity program strategy are achieved. For example,.... GRC Toolkit Controls AAT-15 requires Mechanisms exist to define the criteria as to whether Artificial Intelligence (AI) and Autonomous Technologies (AAT) achieved intended purposes and stated objectives to determin.... Both address security and privacy governance. C2M2 is narrower and fits within GRC Toolkit Controls scope.",subset_of,6,AI & Autonomous Technologies Viability Decisions,AAT-15,Mechanisms exist to define the criteria as to whether Artificial Intelligence (AI) and Autonomous Technologies (AAT) achieved intended purposes and stated objectives to determine whether its development or deployment should proceed.,"Shared scope: none identified. C2M2 emphasizes strategy, according, documented; GRC Toolkit Controls additionally includes autonomous, technologies, artificial."
PROGRAM-2c,Senior management sponsorship for the cybersecurity program is visible and active,"Visible and active sponsorship by senior management might include regular communications by senior management about the importance and value of cybersecurity activities, organizational support for establishing and implementing policies or other organizational directives to guide the program, funding awards and recognition programs for staff who make significant contributions toward achieving cybersecurity objectives, and ensuring that cybersecurity concepts are included in contracts with supp...",medium,functional,"C2M2 PROGRAM-2c requires Visible and active sponsorship by senior management might include regular communications by senior management about the importance and value of cybersecurity activities, organiz.... GRC Toolkit Controls NET-06.1 requires Mechanisms exist to implement security management subnets to isolate security tools and support components from other internal system components by implementing separate subnetw.... Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Security Management Subnets,NET-06.1,Mechanisms exist to implement security management subnets to isolate security tools and support components from other internal system components by implementing separate subnetworks with managed interfaces to other components of the system.,"Overlap: none identified. Divergence: C2M2 emphasizes senior, active, organizational; GRC Toolkit Controls emphasizes components, subnets, system."
PROGRAM-2d,"Senior management sponsorship is provided for the development, maintenance, and enforcement of cybersecurity policies",Polices are an expression of senior managers’ level of commitment to the cybersecurity program. Lack of visible endorsement of cybersecurity policies by senior managers typically renders policies less effective because stakeholders may assume that the policies are not being enforced or that they are simply meant to be used as a guideline rather than a requirement. Senior managers should communicate the importance of cybersecurity policies to the mission and well-being of the organization and...,medium,functional,"C2M2 PROGRAM-2d requires Polices are an expression of senior managers’ level of commitment to the cybersecurity program. Lack of visible endorsement of cybersecurity policies by senior managers typicall.... GRC Toolkit Controls PRM-07 requires Mechanisms exist to ensure changes to Technology Assets, Applications and/or Services (TAAS) within the Secure Development Life Cycle (SDLC) are controlled through formal change.... Both address security and privacy governance. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Secure Development Life Cycle (SDLC) Management,PRM-07,"Mechanisms exist to ensure changes to Technology Assets, Applications and/or Services (TAAS) within the Secure Development Life Cycle (SDLC) are controlled through formal change control procedures.","Shared scope: none identified. C2M2 additionally includes senior, commitment, enforcement; GRC Toolkit Controls emphasizes cycle, life, sdlc."
PROGRAM-2e,Responsibility for the cybersecurity program is assigned to a role with sufficient authority,It’s important that the role that is made responsible for executing the cybersecurity program (such as a chief information security officer) has the necessary and sufficient authority within the organization to carry out program activities and to obtain the necessary resources to support the program. Related Practices · Input From: Implementing PROGRAM-2b provides input that may be useful for implementing this practice.,medium,functional,"C2M2 PROGRAM-2e requires It’s important that the role that is made responsible for executing the cybersecurity program (such as a chief information security officer) has the necessary and sufficient aut.... GRC Toolkit Controls PRI-01.1 requires Mechanisms exist to appoints a Chief Privacy Officer (CPO) or similar role, with the authority, mission, accountability and resources to coordinate, develop and implement, appli.... Both address access control. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Chief Privacy Officer (CPO),PRI-01.1,"Mechanisms exist to appoints a Chief Privacy Officer (CPO) or similar role, with the authority, mission, accountability and resources to coordinate, develop and implement, applicable data privacy requirements and manage data privacy risks through the organization-wide data privacy program.","Shared scope: access control; governance and policy. C2M2 additionally includes necessary, sufficient, activities; GRC Toolkit Controls emphasizes privacy, data, cpo."
PROGRAM-2f,Stakeholders for cybersecurity program management activities are identified and involved,"Stakeholders of the cybersecurity program are identified and involved in the performance of practices. This could include stakeholders from within the function, from across the organization, or from outside the organization, depending on how the organization implemented the practices. Stakeholders might include project managers, business process owners, and owners of affected assets and services, as well as staff involved in cybersecurity activities. Identification of stakeholders and their a...",medium,functional,"C2M2 PROGRAM-2f requires Stakeholders of the cybersecurity program are identified and involved in the performance of practices. This could include stakeholders from within the function, from across the.... GRC Toolkit Controls CHG-02.5 requires Mechanisms exist to govern assets involved in providing cryptographic protections according to the organization's configuration management processes.. Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Cryptographic Management,CHG-02.5,Mechanisms exist to govern assets involved in providing cryptographic protections according to the organization's configuration management processes.,"Overlap: none identified. Divergence: C2M2 emphasizes identified, stakeholders, activities; GRC Toolkit Controls emphasizes cryptographic, according, assets."
PROGRAM-2g,Cybersecurity program activities are periodically reviewed to ensure that they align with the cybersecurity program strategy,There should be a process in place to periodically evaluate cybersecurity program activities to ensure that they continue to support the goals and objectives of the cybersecurity program strategy. Activities that don’t contribute to the accomplishment of those goals and objectives should be evaluated to determine whether they should be continued. Any gaps in fulfillment of the objectives should also be addressed. Related Practices · Input From: Implementing PROGRAM-1b provides input that may...,medium,functional,C2M2 PROGRAM-2g requires There should be a process in place to periodically evaluate cybersecurity program activities to ensure that they continue to support the goals and objectives of the cybersecurit.... GRC Toolkit Controls CPL-04 requires Mechanisms exist to thoughtfully plan audits by including input from operational risk and compliance partners to minimize the impact of audit-related activities on business oper.... Both address risk management. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Audit Activities,CPL-04,Mechanisms exist to thoughtfully plan audits by including input from operational risk and compliance partners to minimize the impact of audit-related activities on business operations.,"Overlap: risk management; audit and monitoring. Divergence: C2M2 emphasizes ensure, periodically, strategy; GRC Toolkit Controls emphasizes compliance, audit, audit-related."
PROGRAM-2h,"Cybersecurity activities are independently reviewed to ensure conformance with cybersecurity policies and procedures, periodically and according to defined triggers, such as process changes","The purpose of this practice is to provide additional assurance that cybersecurity activities are being performed as specified by the organization’s cybersecurity policies and procedures. The evaluation must be independent; that is, conducted by reviewers from outside the cybersecurity program under direction from the organization's governing body). Those directly involved in program activities cannot perform the evaluation or render an opinion on the program’s effectiveness. Such evaluations...",medium,functional,"C2M2 PROGRAM-2h requires The purpose of this practice is to provide additional assurance that cybersecurity activities are being performed as specified by the organization’s cybersecurity policies and p.... GRC Toolkit Controls MON-02.8 requires Mechanisms exist to provide privileged users or roles the capability to change the auditing to be performed on specified system components, based on specific event criteria with.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Changes by Authorized Individuals,MON-02.8,"Mechanisms exist to provide privileged users or roles the capability to change the auditing to be performed on specified system components, based on specific event criteria within specified time thresholds.","Overlap: access control; incident response; audit and monitoring. Divergence: C2M2 emphasizes activities, policies, procedures; GRC Toolkit Controls emphasizes auditing, authorized, based."
PROGRAM-2i,"The cybersecurity program addresses and enables the achievement of legal and regulatory compliance, as appropriate","The organization should have personnel who are responsible for ensuring that it is aware of all regulatory compliance obligations that it is subject to from governments and other sources. Cybersecurity program objectives should align with and support the meeting of any of those obligations that are relevant to cybersecurity, and the program should develop and implement the proper procedures and activities to ensure compliance in a timely and accurate manner. Related Practices · Progression: T...",medium,functional,"C2M2 PROGRAM-2i requires The organization should have personnel who are responsible for ensuring that it is aware of all regulatory compliance obligations that it is subject to from governments and othe.... GRC Toolkit Controls CPL-01 requires Mechanisms exist to facilitate the identification and implementation of relevant statutory, regulatory and contractual controls.. Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,"Statutory, Regulatory & Contractual Compliance",CPL-01,"Mechanisms exist to facilitate the identification and implementation of relevant statutory, regulatory and contractual controls.","Overlap: none identified. Divergence: C2M2 emphasizes achievement, addresses, appropriate; GRC Toolkit Controls emphasizes contractual, statutory, exist."
PROGRAM-2j,"The organization collaborates with external entities to contribute to the development and implementation of cybersecurity standards, guidelines, leading practices, lessons learned, and emerging technologies","In addition to maintaining awareness of any industry cybersecurity standards that the organization is obligated to comply with (such as the North American Energy Reliability Corporation Critical Infrastructure Protection standard), the organization should assign responsibility to selected personnel to contribute to industry efforts to develop cybersecurity practices or guidelines. For example, the Payment Card Industry practices were developed by stakeholders in the credit card industry for v...",medium,functional,C2M2 PROGRAM-2j requires In addition to maintaining awareness of any industry cybersecurity standards that the organization is obligated to comply with (such as the North American Energy Reliability Cor.... GRC Toolkit Controls AAT-02.2 requires Mechanisms exist to identify and document internal cybersecurity and data protection controls for Artificial Intelligence (AI) and Autonomous Technologies (AAT).. Both address audit and monitoring. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,AI & Autonomous Technologies Internal Controls,AAT-02.2,Mechanisms exist to identify and document internal cybersecurity and data protection controls for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,"Overlap: audit and monitoring; data protection. Divergence: C2M2 emphasizes organization, contribute, guidelines; GRC Toolkit Controls emphasizes autonomous, artificial, intelligence."
PROGRAM-3a,"Documented procedures are established, followed, and maintained for activities in the PROGRAM domain","The activities in the PROGRAM domain are formally documented in some way (such as standard operating procedures, process flow diagrams, RACI charts, and swim lane diagrams). The activities are intentionally designed or described to serve the organization rather than being ad hoc. Documenting procedures helps ensure that they are repeatable and produce expected outcomes. The level of detail included in documentation should be a sufficient to enable consistent performance of domain activities b...",medium,functional,"C2M2 PROGRAM-3a requires The activities in the PROGRAM domain are formally documented in some way (such as standard operating procedures, process flow diagrams, RACI charts, and swim lane diagrams). The.... GRC Toolkit Controls MON-01.8 requires Mechanisms exist to review event logs on an ongoing basis and escalate incidents in accordance with established timelines and procedures.. Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Security Event Monitoring,MON-01.8,Mechanisms exist to review event logs on an ongoing basis and escalate incidents in accordance with established timelines and procedures.,"Overlap: incident response; governance and policy. Divergence: C2M2 emphasizes activities, diagrams, documented; GRC Toolkit Controls emphasizes event, monitoring, accordance."
PROGRAM-3b,"Adequate resources (people, funding, and tools) are provided to support activities in the PROGRAM domain","When determining the adequacy of resources, it may help to consider whether there are any PROGRAM domain activities not currently being performed that the organization would perform if it had additional people, funding, or tools. An additional consideration may be whether the organization has implemented all practices it has targeted for implementation and whether additional resources are necessary to address potential gaps. Adequate resources are provided in the form of people, funding, and...",medium,functional,"C2M2 PROGRAM-3b requires When determining the adequacy of resources, it may help to consider whether there are any PROGRAM domain activities not currently being performed that the organization would per.... GRC Toolkit Controls MON-01.2 requires Mechanisms exist to utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support near real-time analysis and incident escalation.. Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Automated Tools for Real-Time Analysis,MON-01.2,"Mechanisms exist to utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support near real-time analysis and incident escalation.","Overlap: incident response; audit and monitoring. Divergence: C2M2 emphasizes activities, domain, funding; GRC Toolkit Controls emphasizes analysis, automated, incident."
PROGRAM-3c,Up-to-date policies or other organizational directives define requirements for activities in the PROGRAM domain,"Activities in the PROGRAM domain receive documented guidance and direction from the organization in the form of policies or similar directives. Strategic business objectives drive the development of documented policies or other organizational directives to ensure activities support the accomplishment of the organization’s mission. Policies or other organizational directives for PROGRAM domain activities may contain · responsibility, authority, and ownership for performing PROGRAM activities ·...",medium,functional,"C2M2 PROGRAM-3c requires Activities in the PROGRAM domain receive documented guidance and direction from the organization in the form of policies or similar directives. Strategic business objectives dri.... GRC Toolkit Controls CPL-03 requires Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's cybersecurity and data protection policies, standards and o.... Both address governance and policy. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Cybersecurity & Data Protection Assessments,CPL-03,"Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's cybersecurity and data protection policies, standards and other applicable requirements.","Shared scope: governance and policy; audit and monitoring. C2M2 additionally includes activities, directives, domain; GRC Toolkit Controls emphasizes data, protection, applicable."
PROGRAM-3d,"Responsibility, accountability, and authority for the performance of activities in the PROGRAM domain are assigned to personnel",The intent of this practice is that specific people (or people in specific roles) are held accountable for ensuring the achievement of expected results of PROGRAM domain activities and that they are given the appropriate authority to act and to perform their assigned responsibilities. These are examples of how to formalize responsibility and authority for PROGRAM domain activities: · defining roles and responsibilities in policies · developing position descriptions and conducting associated p...,medium,functional,C2M2 PROGRAM-3d requires The intent of this practice is that specific people (or people in specific roles) are held accountable for ensuring the achievement of expected results of PROGRAM domain activit.... GRC Toolkit Controls TPM-06 requires Mechanisms exist to control personnel security requirements including security roles and responsibilities for third-party providers.. Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Third-Party Personnel Security,TPM-06,Mechanisms exist to control personnel security requirements including security roles and responsibilities for third-party providers.,"Overlap: access control. Divergence: C2M2 emphasizes activities, assigned, authority; GRC Toolkit Controls emphasizes third-party, exist, including."
